repository_id,repo_name,repo_full_name,squad,tech_stack,service_type,criticality_level,ai_adoption_level,ai_tool_used,adoption_date,total_contributors,creation_date
1,payment-service,techflow/payment-service,Payments,Python,backend,critical,high,Copilot,2025-03-01,6,2019-10-12
2,api-gateway,techflow/api-gateway,Platform,Go,backend,critical,high,Copilot,2025-03-01,19,2019-04-15
3,user-service,techflow/user-service,Platform,Node.js,backend,high,high,Cursor,2025-03-01,20,2021-12-08
4,billing-engine,techflow/billing-engine,Payments,Java,backend,critical,medium,Copilot,2025-03-01,15,2022-11-27
5,growth-web,techflow/growth-web,Growth,TypeScript,frontend,medium,high,Cursor,2025-03-01,22,2020-10-19
6,mobile-app,techflow/mobile-app,Mobile,TypeScript,mobile,high,medium,Copilot,2025-03-01,6,2021-08-09
7,data-pipeline,techflow/data-pipeline,Data,Python,data,medium,low,none,2025-03-01,16,2020-10-05
8,analytics-api,techflow/analytics-api,Data,Python,backend,low,medium,Copilot,2025-03-01,5,2022-05-11
9,infra-config,techflow/infra-config,Platform,Go,infra,critical,none,none,,10,2022-03-29
10,notifications-svc,techflow/notifications-svc,Growth,Node.js,backend,medium,high,Cursor,2025-03-01,7,2020-10-19
