deploy_id,time_id,repository_id,engineer_id,timestamp_deploy,lead_time_minutes,change_fail_rate,recovery_time_minutes,is_rollback,is_hotfix,lines_added,lines_removed,ai_generated_pct,pr_review_time_minutes,num_comments_review,num_approvals,num_revisions_requested,deploy_status,deploy_trigger,environment,pr_number,pr_title
1,20250907,3,10,2025-09-07 11:08:00,677,0.065,,False,False,23,8,0.1229,162,3,3,0,success,manual,production,1000,refactor: add new webhook
2,20250627,4,14,2025-06-27 14:24:00,172,0.065,49,True,False,28,91,0.6883,455,5,1,1,rolled_back,ci_cd,production,1001,docs: bug in checkout
3,20240508,7,32,2024-05-08 11:45:00,421,0.055,,False,False,135,6,0.0313,226,3,1,0,success,manual,production,1002,docs: user service refactor
4,20250801,8,33,2025-08-01 16:13:00,726,0.065,,False,False,39,1067,0.6701,690,2,1,0,success,ci_cd,canary,1003,refactor: feature flag rollout
5,20240313,10,3,2024-03-13 16:13:00,504,0.055,,False,False,248,61,0.0,270,1,1,0,success,hotfix,production,1004,chore: add new webhook
6,20251019,4,21,2025-10-19 17:09:00,319,0.065,,False,False,46,24,0.8218,662,8,2,3,success,ci_cd,production,1005,refactor: migration to new schema
7,20250317,5,19,2025-03-17 13:08:00,353,0.065,,False,False,81,27,0.4493,140,4,2,3,success,scheduled,canary,1006,feat: retry logic in payments
8,20251019,3,3,2025-10-19 10:26:00,459,0.065,,False,False,38,30,0.5133,238,6,1,1,success,manual,production,1007,refactor: feature flag rollout
9,20250815,8,15,2025-08-15 12:23:00,1427,0.065,,False,False,212,184,0.7979,183,2,2,3,success,ci_cd,production,1008,perf: new payment flow
10,20240222,10,3,2024-02-22 13:47:00,347,0.055,,False,False,120,37,0.0,44,3,2,0,success,hotfix,production,1009,feat: ai prompt library
11,20250629,10,32,2025-06-29 21:23:00,493,0.065,,False,False,118,132,0.4735,406,2,2,2,success,ci_cd,production,1010,fix: add new webhook
12,20240205,1,21,2024-02-05 14:07:00,485,0.055,,False,False,51,115,0.128,257,1,1,0,success,ci_cd,production,1011,refactor: user service refactor
13,20250321,6,30,2025-03-21 11:31:00,1595,0.065,,False,False,29,26,0.6946,857,8,1,2,success,scheduled,production,1012,refactor: deps update
14,20240220,8,23,2024-02-20 13:33:00,495,0.055,,False,False,599,38,0.1438,310,1,3,0,success,scheduled,staging,1013,refactor: deps update
15,20250612,9,29,2025-06-12 06:11:00,445,0.055,,False,True,20,28,0.0,135,3,1,0,success,manual,canary,1014,docs: update logging
16,20240921,2,9,2024-09-21 12:55:00,638,0.055,,False,False,52,54,0.0,187,3,2,0,success,manual,production,1015,feat: bug in checkout
17,20250307,1,4,2025-03-07 16:19:00,580,0.065,,False,False,150,162,0.502,385,7,1,2,success,scheduled,production,1016,perf: migration to new schema
18,20240420,7,14,2024-04-20 10:38:00,522,0.055,,False,True,82,1196,0.0151,448,5,1,0,success,ci_cd,production,1017,chore: user service refactor
19,20251004,5,30,2025-10-04 13:41:00,357,0.065,,False,False,1913,45,0.7091,420,6,1,1,success,ci_cd,production,1018,fix: error handling
20,20250522,2,11,2025-05-22 16:15:00,1260,0.065,,False,False,311,85,0.6865,350,4,1,1,success,ci_cd,canary,1019,perf: user service refactor
21,20250626,3,16,2025-06-26 10:27:00,574,0.065,,False,False,731,219,0.7675,1454,2,1,4,success,scheduled,staging,1020,docs: bug in checkout
22,20240331,9,36,2024-03-31 10:24:00,554,0.055,,False,False,42,162,0.0,136,5,1,0,success,manual,production,1021,perf: add new webhook
23,20251218,8,37,2025-12-18 17:15:00,429,0.065,,False,True,196,55,0.8943,1169,6,1,4,success,ci_cd,production,1022,feat: add new webhook
24,20251013,5,3,2025-10-13 18:51:00,2018,0.065,,False,False,1618,80,0.6954,525,5,1,0,success,manual,staging,1023,chore: feature flag rollout
25,20240625,1,32,2024-06-25 06:12:00,609,0.055,,False,False,1120,7,0.1098,314,2,1,0,success,ci_cd,canary,1024,feat: retry logic in payments
26,20240227,5,2,2024-02-27 15:05:00,1530,0.055,,False,False,285,191,0.1039,69,5,3,0,success,ci_cd,production,1025,chore: migration to new schema
27,20240329,6,15,2024-03-29 16:47:00,669,0.055,,False,False,227,88,0.1513,123,3,2,0,success,ci_cd,production,1026,feat: new payment flow
28,20250518,5,35,2025-05-18 16:08:00,1163,0.065,,False,False,132,22,0.7093,293,2,1,1,success,ci_cd,production,1027,refactor: performance improvements
29,20240107,7,10,2024-01-07 08:23:00,462,0.055,,False,False,94,45,0.0,133,4,2,0,success,ci_cd,canary,1028,perf: error handling
30,20240225,10,3,2024-02-25 11:44:00,880,0.055,57,True,False,106,13,0.1362,47,2,1,0,rolled_back,ci_cd,production,1029,perf: performance improvements
31,20240825,10,2,2024-08-25 16:44:00,424,0.055,,False,False,79,39,0.0,238,4,1,0,success,ci_cd,staging,1030,feat: migration to new schema
32,20250103,2,38,2025-01-03 16:24:00,1433,0.055,,False,False,319,562,0.0,114,4,3,0,success,ci_cd,staging,1031,chore: dashboard query optimization
33,20251213,5,30,2025-12-13 16:38:00,334,0.065,,False,False,161,71,0.7806,284,5,2,1,success,ci_cd,production,1032,feat: latency fix in gateway
34,20250626,8,27,2025-06-26 13:57:00,466,0.065,,False,False,32,48,0.7336,361,2,1,2,success,ci_cd,production,1033,docs: new payment flow
35,20250614,7,36,2025-06-14 13:53:00,1139,0.065,,False,False,118,50,0.71,564,4,1,2,success,ci_cd,staging,1034,docs: auth token refresh
36,20250309,5,29,2025-03-09 15:31:00,392,0.065,,False,False,129,208,0.4238,553,4,2,2,success,ci_cd,production,1035,feat: ai prompt library
37,20251113,9,27,2025-11-13 12:06:00,865,0.055,,False,False,93,14,0.0,510,5,3,0,success,ci_cd,production,1036,fix: latency fix in gateway
38,20241103,1,32,2024-11-03 20:42:00,755,0.055,,False,False,290,271,0.0,210,7,1,0,success,ci_cd,production,1037,fix: user service refactor
39,20240215,8,30,2024-02-15 13:18:00,1438,0.055,,False,False,134,19,0.0,207,2,1,0,success,ci_cd,canary,1038,refactor: latency fix in gateway
40,20240906,6,29,2024-09-06 18:42:00,820,0.105,,False,False,111,144,0.1591,230,4,1,0,success,ci_cd,staging,1039,refactor: latency fix in gateway
41,20250120,9,20,2025-01-20 14:56:00,730,0.055,,False,False,404,36,0.0661,90,6,1,0,success,ci_cd,production,1040,refactor: feature flag rollout
42,20250325,10,4,2025-03-25 13:58:00,715,0.065,,False,False,125,76,0.2862,360,4,1,0,success,scheduled,production,1041,refactor: error handling
43,20250222,2,22,2025-02-22 16:36:00,885,0.055,,False,False,67,175,0.0,185,1,2,0,success,ci_cd,production,1042,test: deps update
44,20240514,8,17,2024-05-14 13:23:00,296,0.055,,False,False,63,27,0.0248,176,6,1,0,success,ci_cd,production,1043,chore: auth token refresh
45,20240504,2,22,2024-05-04 13:01:00,759,0.055,,False,False,84,23,0.0245,187,3,1,0,success,ci_cd,canary,1044,perf: error handling
46,20240319,7,24,2024-03-19 15:36:00,1064,0.055,,False,False,113,57,0.1001,328,4,2,0,success,ci_cd,staging,1045,refactor: add new webhook
47,20250916,4,24,2025-09-16 02:10:00,654,0.065,,False,False,249,106,0.413,279,8,1,1,success,ci_cd,production,1046,fix: performance improvements
48,20240306,7,9,2024-03-06 21:45:00,210,0.055,,False,False,90,36,0.1415,473,3,3,0,success,ci_cd,production,1047,perf: update logging
49,20250419,9,12,2025-04-19 12:14:00,1069,0.055,,False,True,14,76,0.0,207,4,1,0,success,manual,production,1048,perf: new payment flow
50,20240220,7,9,2024-02-20 15:30:00,1177,0.055,,False,False,132,317,0.0584,138,2,1,0,success,ci_cd,production,1049,chore: error handling
51,20241117,2,37,2024-11-17 17:48:00,400,0.055,,False,False,43,36,0.0738,100,4,2,0,success,manual,production,1050,refactor: deps update
52,20250309,8,25,2025-03-09 05:46:00,742,0.065,,False,False,82,71,0.9094,129,7,1,2,success,ci_cd,production,1051,fix: user service refactor
53,20240902,9,31,2024-09-02 13:38:00,295,0.055,,False,False,108,126,0.0442,142,2,2,0,success,ci_cd,production,1052,refactor: deps update
54,20240325,5,18,2024-03-25 11:46:00,493,0.055,,False,False,61,56,0.0853,86,3,1,0,success,ci_cd,production,1053,feat: bug in checkout
55,20250523,9,18,2025-05-23 17:23:00,529,0.105,,False,False,229,30,0.1147,227,3,1,0,success,ci_cd,staging,1054,perf: user service refactor
56,20240717,2,18,2024-07-17 09:03:00,398,0.055,,False,False,67,47,0.0533,290,1,1,0,success,ci_cd,production,1055,refactor: migration to new schema
57,20240830,7,19,2024-08-30 17:40:00,796,0.105,,False,False,146,279,0.0,211,2,2,0,success,ci_cd,staging,1056,chore: error handling
58,20250605,3,40,2025-06-05 22:08:00,744,0.065,,False,False,360,93,0.6966,497,4,1,1,success,ci_cd,production,1057,test: bug in checkout
59,20240210,2,39,2024-02-10 09:44:00,287,0.055,,False,False,119,189,0.0128,102,5,2,0,success,ci_cd,staging,1058,refactor: feature flag rollout
60,20250326,10,33,2025-03-26 16:45:00,656,0.065,,False,False,145,109,0.4753,412,7,1,2,success,ci_cd,production,1059,refactor: ai prompt library
61,20240423,9,25,2024-04-23 10:02:00,505,0.055,,False,False,190,47,0.0537,266,0,1,0,success,manual,production,1060,refactor: auth token refresh
62,20241123,4,33,2024-11-23 09:43:00,389,0.055,,False,False,53,169,0.1573,90,3,2,0,success,ci_cd,production,1061,perf: retry logic in payments
63,20241127,6,16,2024-11-27 10:23:00,935,0.055,,False,False,4062,43,0.0454,95,0,2,0,success,ci_cd,production,1062,test: latency fix in gateway
64,20240622,10,20,2024-06-22 20:56:00,718,0.055,,False,False,636,438,0.0457,297,4,2,0,success,ci_cd,production,1063,feat: update logging
65,20250430,9,38,2025-04-30 18:49:00,863,0.055,,False,False,168,8,0.1557,358,2,1,0,success,ci_cd,canary,1064,docs: update logging
66,20241106,8,31,2024-11-06 11:40:00,264,0.055,,False,False,28,58,0.121,297,0,1,0,success,ci_cd,production,1065,docs: feature flag rollout
67,20240229,10,19,2024-02-29 19:57:00,911,0.055,,False,False,1345,23,0.0,113,4,3,0,success,manual,staging,1066,fix: dashboard query optimization
68,20240612,3,30,2024-06-12 11:33:00,145,0.055,,False,False,100,150,0.0288,113,4,2,0,success,ci_cd,production,1067,feat: performance improvements
