deploy_id,time_id,repository_id,engineer_id,timestamp_deploy,lead_time_minutes,change_fail_rate,recovery_time_minutes,is_rollback,is_hotfix,lines_added,lines_removed,ai_generated_pct,pr_review_time_minutes,num_comments_review,num_approvals,num_revisions_requested,deploy_status,deploy_trigger,environment,pr_number,pr_title
1,20250203,8,19,2025-02-03 10:50:00,112,0.045,,False,False,19,69,0.0,263,6,2,0,success,ci_cd,canary,1000,feat: add new webhook
2,20240709,4,26,2024-07-09 07:04:00,342,0.045,,False,False,65,105,0.0,250,2,2,0,success,ci_cd,staging,1001,feat: new payment flow
3,20250414,2,5,2025-04-14 15:36:00,231,0.04,,False,False,507,135,0.6723,127,3,3,1,success,scheduled,production,1002,fix: dashboard query optimization
4,20240428,9,10,2024-04-28 18:47:00,359,0.045,,False,False,39,273,0.0084,266,2,2,0,success,ci_cd,production,1003,perf: error handling
5,20250313,2,10,2025-03-13 14:07:00,279,0.04,,False,False,87,41,0.6576,237,5,1,0,success,ci_cd,canary,1004,test: user service refactor
6,20240630,3,22,2024-06-30 18:01:00,973,0.045,,False,False,138,224,0.0505,377,3,1,0,success,manual,staging,1005,fix: new payment flow
7,20251106,5,5,2025-11-06 09:21:00,397,0.04,,False,False,90,42,0.7716,270,3,3,1,success,ci_cd,production,1006,perf: auth token refresh
8,20250129,5,3,2025-01-29 18:12:00,1477,0.045,,False,False,14,120,0.0136,460,1,1,0,success,ci_cd,production,1007,refactor: error handling
9,20241029,7,25,2024-10-29 14:12:00,723,0.045,,False,False,88,130,0.0,144,1,1,0,success,ci_cd,production,1008,docs: migration to new schema
10,20241209,4,20,2024-12-09 08:48:00,447,0.045,,False,False,146,522,0.1243,176,3,2,0,success,ci_cd,production,1009,fix: retry logic in payments
11,20251213,9,16,2025-12-13 14:03:00,324,0.045,,False,False,33,59,0.0,220,5,2,0,success,scheduled,production,1010,test: deps update
12,20251014,9,32,2025-10-14 11:49:00,729,0.045,,False,False,516,16,0.0404,118,4,1,0,success,ci_cd,production,1011,fix: add new webhook
13,20250306,10,2,2025-03-06 12:49:00,122,0.04,,False,False,261,20,0.3155,160,2,1,1,success,ci_cd,production,1012,feat: update logging
