deploy_id,time_id,repository_id,engineer_id,timestamp_deploy,lead_time_minutes,change_fail_rate,recovery_time_minutes,is_rollback,is_hotfix,lines_added,lines_removed,ai_generated_pct,pr_review_time_minutes,num_comments_review,num_approvals,num_revisions_requested,deploy_status,deploy_trigger,environment,pr_number,pr_title
1,20241006,1,16,2024-10-06 15:01:00,255,0.05,,False,False,81,140,0.0,75,3,2,0,success,manual,production,1000,test: retry logic in payments
2,20240224,7,40,2024-02-24 17:23:00,560,0.05,,False,False,38,67,0.0194,324,3,2,0,success,ci_cd,canary,1001,perf: retry logic in payments
3,20241108,6,19,2024-11-08 08:59:00,612,0.05,,False,False,220,120,0.0,102,2,1,0,success,ci_cd,production,1002,docs: new payment flow
4,20251125,8,6,2025-11-25 15:27:00,205,0.17,,False,False,107,49,0.7991,1471,9,2,2,success,manual,staging,1003,chore: retry logic in payments
5,20250707,5,31,2025-07-07 17:43:00,68,0.17,135,True,False,184,532,0.853,176,11,2,2,rolled_back,ci_cd,production,1004,docs: feature flag rollout
6,20251108,4,7,2025-11-08 19:46:00,121,0.17,,False,False,38,65,0.8811,425,11,1,1,success,ci_cd,production,1005,perf: performance improvements
7,20240122,4,35,2024-01-22 13:37:00,549,0.05,,False,False,102,20,0.0,370,1,1,0,success,ci_cd,production,1006,docs: feature flag rollout
8,20240913,3,9,2024-09-13 08:39:00,505,0.05,,False,False,313,46,0.0,221,2,1,0,success,ci_cd,staging,1007,feat: new payment flow
9,20250807,4,5,2025-08-07 10:09:00,337,0.17,,False,False,39,284,0.9388,605,8,1,1,success,manual,production,1008,feat: feature flag rollout
10,20250920,2,28,2025-09-20 22:25:00,146,0.17,,False,False,25,29,0.9865,702,7,1,1,success,ci_cd,production,1009,perf: latency fix in gateway
11,20250206,1,15,2025-02-06 08:03:00,649,0.05,,False,False,98,58,0.0984,165,5,2,0,success,ci_cd,staging,1010,chore: dashboard query optimization
12,20250812,9,20,2025-08-12 09:30:00,1311,0.05,,False,False,117,333,0.0325,259,3,3,0,success,ci_cd,production,1011,fix: performance improvements
13,20250330,6,7,2025-03-30 19:54:00,160,0.17,,False,False,291,9,0.7265,218,8,1,0,success,ci_cd,staging,1012,refactor: feature flag rollout
14,20250929,9,21,2025-09-29 06:04:00,925,0.05,,False,False,14,37,0.0,398,1,1,0,success,scheduled,production,1013,fix: error handling
15,20240624,6,18,2024-06-24 08:08:00,860,0.05,,False,False,146,99,0.0499,135,3,3,0,success,ci_cd,canary,1014,chore: add new webhook
16,20240705,6,32,2024-07-05 11:33:00,600,0.05,,False,False,223,11,0.0896,113,2,2,0,success,ci_cd,production,1015,chore: retry logic in payments
17,20240622,7,36,2024-06-22 18:17:00,2178,0.05,,False,False,453,316,0.0019,169,4,1,0,success,ci_cd,production,1016,fix: bug in checkout
18,20240920,5,36,2024-09-20 18:09:00,1788,0.1,104,True,False,759,397,0.0,251,1,1,0,rolled_back,manual,canary,1017,perf: bug in checkout
19,20250224,4,2,2025-02-24 09:13:00,1571,0.05,,False,False,44,30,0.131,200,1,1,0,success,ci_cd,production,1018,refactor: dashboard query optimization
20,20250929,8,22,2025-09-29 13:01:00,223,0.17,,False,False,1148,13,0.6842,690,8,3,3,success,manual,canary,1019,test: bug in checkout
21,20240908,9,6,2024-09-08 11:18:00,517,0.05,,False,False,302,29,0.0,124,2,2,0,success,ci_cd,production,1020,chore: new payment flow
22,20240329,4,23,2024-03-29 19:27:00,718,0.1,,False,False,904,29,0.0363,273,3,1,0,success,scheduled,production,1021,refactor: error handling
23,20240806,7,8,2024-08-06 17:48:00,472,0.05,,False,False,36,50,0.0468,614,1,1,0,success,ci_cd,production,1022,feat: performance improvements
24,20250729,3,29,2025-07-29 18:23:00,176,0.17,,False,False,73,172,0.732,283,12,1,2,success,manual,production,1023,chore: ai prompt library
25,20250522,2,9,2025-05-22 12:57:00,138,0.17,,False,False,64,240,0.5953,349,6,2,2,success,ci_cd,production,1024,test: bug in checkout
26,20251226,5,5,2025-12-26 08:51:00,122,0.17,,False,True,14,774,0.5849,470,9,1,2,success,hotfix,production,1025,refactor: add new webhook
27,20240518,2,28,2024-05-18 07:06:00,425,0.05,,False,False,1399,33,0.0,135,2,1,0,success,manual,production,1026,fix: latency fix in gateway
28,20240210,9,38,2024-02-10 09:56:00,352,0.05,,False,False,187,26,0.1782,225,3,2,0,success,ci_cd,staging,1027,refactor: error handling
29,20250911,3,16,2025-09-11 18:24:00,464,0.17,,False,False,632,189,0.4831,598,11,2,3,success,ci_cd,production,1028,refactor: dashboard query optimization
30,20240806,4,9,2024-08-06 17:23:00,844,0.05,,False,False,9,85,0.0607,271,2,1,0,success,ci_cd,production,1029,docs: migration to new schema
31,20241017,6,23,2024-10-17 13:51:00,756,0.05,,False,False,403,176,0.0187,143,2,1,0,success,scheduled,production,1030,perf: bug in checkout
32,20240624,4,20,2024-06-24 20:46:00,423,0.05,,False,False,50,24,0.0059,179,2,2,0,success,manual,production,1031,perf: ai prompt library
33,20240212,3,30,2024-02-12 14:24:00,220,0.05,,False,False,422,94,0.2117,159,3,1,0,success,manual,staging,1032,chore: retry logic in payments
34,20240422,9,12,2024-04-22 13:30:00,1971,0.05,,False,True,124,24,0.0427,309,3,2,0,success,ci_cd,production,1033,test: retry logic in payments
35,20241122,4,30,2024-11-22 17:32:00,796,0.1,41,True,False,338,38,0.0739,191,5,2,0,rolled_back,ci_cd,production,1034,feat: deps update
36,20240905,7,25,2024-09-05 09:04:00,170,0.05,,False,False,814,376,0.0,112,0,3,0,success,ci_cd,staging,1035,feat: new payment flow
37,20241007,2,9,2024-10-07 11:44:00,962,0.05,,False,False,23,22,0.0596,61,2,2,0,success,manual,production,1036,docs: auth token refresh
38,20240128,2,7,2024-01-28 10:23:00,575,0.05,,False,False,29,14,0.1818,462,1,1,0,success,ci_cd,production,1037,fix: performance improvements
39,20240709,2,20,2024-07-09 08:32:00,671,0.05,129,True,False,262,75,0.0047,582,0,2,0,rolled_back,manual,production,1038,chore: latency fix in gateway
40,20250513,6,35,2025-05-13 15:51:00,169,0.17,,False,False,298,60,0.8313,711,10,1,0,success,scheduled,production,1039,perf: dashboard query optimization
41,20240904,9,28,2024-09-04 05:45:00,1436,0.05,,False,False,1007,67,0.0674,251,1,1,0,success,scheduled,staging,1040,test: performance improvements
42,20240910,7,34,2024-09-10 17:35:00,254,0.05,,False,False,101,100,0.0091,134,1,1,0,success,ci_cd,production,1041,chore: feature flag rollout
43,20240130,6,20,2024-01-30 09:48:00,366,0.05,,False,False,130,44,0.0606,252,4,3,0,success,ci_cd,production,1042,refactor: latency fix in gateway
